Total episodios con iVoox: 1238
[33%] 264 ok, 4 skip, 137 fail — p-806-recordando-el-unplugged-de-pearl-jam-alice-in-chains-y
[33%] 265 ok, 4 skip, 139 fail — p-803-se-publica-el-libro-get-back-de-the-beatles
[33%] 266 ok, 4 skip, 139 fail — p-802-john-squire-de-the-stone-roses-a-the-seahorses
[33%] 267 ok, 4 skip, 139 fail — b90-classic-13-los-sonidos-sugerentes-de-the-courettes
[33%] 268 ok, 4 skip, 139 fail — p-801-un-repaso-al-libro-de-dave-grohl-the-storyteller-tales
[sin transcript] p-800-en-directo-desde-siroco-celebrando-los-30-anos-de-neve
[33%] 269 ok, 4 skip, 140 fail — p-799-especial-oasis-knebworth-1996
[33%] 270 ok, 4 skip, 140 fail — p-798-con-jane-s-addiction-empezo-todo
[34%] 271 ok, 4 skip, 140 fail — b90-classic-12-la-historia-completa-de-bittersweet-symphony
[34%] 272 ok, 4 skip, 140 fail — p-797-que-demonios-paso-el-24-de-septiembre-de-1991
[34%] 273 ok, 4 skip, 140 fail — p-796-canciones-imbatibles-que-abren-disco
[34%] 274 ok, 4 skip, 140 fail — the-cult-zeleste-barcelona-11-07-1994
[34%] 275 ok, 4 skip, 140 fail — green-day-garatge-club-barcelona-05-06-1994
[34%] 276 ok, 4 skip, 140 fail — sonic-youth-la-riviera-madrid-27-03-1996
[34%] 277 ok, 4 skip, 140 fail — primal-scream-kgb-barcelona-07-02-1990
[34%] 278 ok, 4 skip, 140 fail — pixies-universal-sur-madrid-17-09-1990
[34%] 279 ok, 4 skip, 140 fail — sepultura-doctor-music-festival-lleida-12-07-1996
[34%] 280 ok, 4 skip, 140 fail — nirvana-palacio-de-los-deportes-de-la-comunidad-de-madrid-03
[34%] 281 ok, 4 skip, 140 fail — jane-s-addiction-universal-sur-madrid-07-04-91
[34%] 282 ok, 4 skip, 140 fail — beck-zeleste-barcelona-25-05-1998
[34%] 283 ok, 4 skip, 140 fail — the-cranberries-la-riviera-madrid-22-04-1999
[35%] 284 ok, 4 skip, 140 fail — morphine-festimad-madrid-03-05-1997
